,atlantic,blaze,breitbart,fox,huffpo,inforwars,npr,nyt,wsj,global,specific
0,0.015957837913870326,0.0285568155245381,0.02198821135113483,0.023604678677455825,0.037310332203780744,0.03084613529608328,0.03963891313691437,0.02747057359272182,0.014594332331975034,opinion,opinion
24,,,,,,,,0.059140307222168856,,opinion,opinion
25,,0.012771137158618525,,,,0.018649723116220446,,,,opinion,opinion
