,blaze,breitbart,fox,huffpo,inforwars,msnbc,nation,npr,nyt,wsj,words10,words2,general,specific,genspec
0,0.02221845168253969,0.024407691134146328,0.01943141691273584,0.020163242154054066,0.02232962050267381,0.019910915253623193,0.017912767149038458,0.02251208992592592,0.0233064358150183,0.018763975968810916,shooting mass people florida parkland left dead two victim shooter,shooting mass,incident,parkland,incident parkland (1)
1,0.025568998864197532,0.01711977317987806,0.01766428951650944,0.02048050963783784,0.014329098379679144,0.018661380061594207,0.017080411182692302,0.021856724338888883,0.024026829932234463,0.016043563138401544,officer police department incident county city say video enforcement call,officer police,incident,mass shooting,incident mass shooting (1)
2,0.02805880779365081,0.02253375706707317,0.024484472047169806,0.019131592213513522,0.01615509739572192,0.020052053014492765,0.020083747302884623,0.0223783593,0.02417820512820515,0.017323005502923972,ar 15 semi used store buy automatic rifle ammunition gun,ar 15,guns,ar 15,guns ar 15
3,0.02142350824691358,0.027218225493902452,0.021807984827830206,0.0181721967972973,0.023682704320855605,0.019916839967391305,0.025248281413461526,0.020594871798148135,0.018397572111721622,0.0228979581539961,school student high parkland florida medium child control week national,school student,incident,parkland,incident parkland (2)
4,0.006801128391534393,0.01909557154573171,0.035892442117924535,0.02989139477837841,0.006527455529411767,0.007513307498188411,0.00920007841346154,0.007339508612962963,0.029091904663003675,0.008395107516569198,trump president white house read morning republican wednesday lawmaker support,trump president,government,trump,government trump
5,0.01169189391358025,0.011562283493902445,0.0149678296721698,0.021107855889189203,0.013625613144385032,0.019620575572463765,0.02206795013461539,0.01361291668888889,0.013770562058608061,0.020228649514619883,nation action sign take support issue three policy program matter,nation action,culture,national identity,culture national identity
6,0.026842624677248673,0.034413029777439035,0.021681484523584912,0.029417712189189205,0.04643423858823531,0.02095172677173914,0.023378731951923075,0.03479659212407411,0.025384825419413896,0.024128395935672526,say one like people think know would may could time,say one,meta,opinions,meta opinions
7,0.035846644370370384,0.0411688270396341,0.03905681055188678,0.03671390825675673,0.03717942289839572,0.031084803898550714,0.02914261802884615,0.0339214785,0.035802916763736245,0.0293443740662768,gun control violence law owner show crime america say debate,gun control,gun control,national identity,gun control national identity
8,0.018373935075837736,0.015233700301829266,0.021364822330188687,0.015330235883783789,0.010291102433155076,0.01831863501630434,0.014813272264423074,0.01328248142037037,0.01805984964285716,0.014252872124756335,get news whether already sign read told life let follow,get news,meta,meta,meta meta
9,0.015021418984126985,0.01498510319207317,0.0135517125495283,0.010747381302702709,0.017366357032085562,0.015012941384057975,0.017070068259615375,0.013238364212962955,0.013190860188644694,0.017491657187134517,ban assault magazine weapon bill ammunition high bullet would president,ban assault,gun control,bans,gun control bans
10,0.02397288117460318,0.008377371277439018,0.03549199439150943,0.015067528264864856,0.006233767074866311,0.025712572831521733,0.00878310804807692,0.012232616292592586,0.02593895465384616,0.008089433902534108,video street 000 country want people show world earlier across,video street,incident,video,incident video
11,0.019951162264550265,0.016843898320121942,0.01833166405424528,0.023468456883783764,0.018063094401069523,0.022347817572463773,0.02075017878846154,0.021775122905555538,0.018945403,0.022933446040935675,state law carry bill legislation republican would measure lawmaker enforcement,state law,gun control,legal,gun control legal
12,0.0247480834744268,0.02347839260670732,0.023264804297169813,0.01846881201081081,0.017417674668449196,0.02067505357608696,0.017647419427884618,0.02206051223148149,0.023983672164835185,0.01788616990448343,firearm ammunition federal act gun sale use report crime owner,firearm ammunition,guns,ammunition,guns ammunition
13,0.017216713809523807,0.020080720341463413,0.01985775338443397,0.013444136402702705,0.019419636807486634,0.014781451838768118,0.01054533352884616,0.015419333796296305,0.01676594054578754,0.014017595756335285,com second amendment twitter news follow armed bullet medium host,com second,gun control,second ammendment,gun control second ammendment (1)
14,0.03611859768430333,0.028221531054878027,0.02418847175235848,0.014896528275675672,0.02473674009090908,0.028008746057971,0.020780052158653847,0.030378582488888885,0.0301733929029304,0.023232211725146182,rifle automatic military round semi assault fire style magazine long,rifle automatic,guns,assault weapons,guns assault weapons (1)
15,0.01763516892945326,0.01608083925609756,0.01724056258490567,0.01804057510540541,0.0069449490267379675,0.011314216826086947,0.008889656384615384,0.010286876807407409,0.018352548826007325,0.008708898918128658,said told county home authority official year two old according,said told,meta,meta,meta meta
16,0.01610808636507937,0.015374688121951212,0.013961156386792448,0.015519834216216223,0.018623959973262032,0.016979524815217396,0.015925563937499998,0.01875613745740739,0.015473096932234425,0.01786727689863548,new york city year morning old time law week first,new york,incident,nyc,incident nyc
17,0.013687219899470904,0.017368140762195124,0.013486193599056609,0.01889638868108108,0.020610862529411758,0.017867101692028986,0.017902276745192305,0.01751319782222223,0.013354918648351647,0.018870809955165713,background check sale system purchase gun record buy federal criminal,background check,gun control,background check,gun control background check
18,0.011272533031746034,0.014279132960365854,0.01042759451650943,0.009868153302702708,0.016975180502673798,0.012422637539855081,0.013652470019230764,0.014005273464814822,0.011746301765567768,0.014123286680311892,court federal case right law family arm amendment second state,court federal,gun control,second ammendment,gun control second ammendment (2)
19,0.01317135303527337,0.015165161722560978,0.014798557745283025,0.015864833972972968,0.014101217288770049,0.014759193166666667,0.012165838187500002,0.012887043111111112,0.012556767410256416,0.012116166015594548,nra national association member group republican right president political amendment,nra national,gun control,nra,gun control nra
20,0.02010367115873017,0.019482182823170727,0.0183590420259434,0.02277141167567567,0.019668738486631015,0.02109358682065215,0.018328343399038462,0.021181657748148144,0.01956433898351648,0.020465117087719295,weapon read 2016 use used system military assault report made,weapon read,guns,assault weapons,guns assault weapons (2)
