,atlantic,blaze,breitbart,fox,huffpo,inforwars,npr,nyt,wsj,global,specific
2,0.011665752996276278,0.020141522219435406,0.017550115972813522,0.01872095675046883,0.011018901393055898,0.016660007800317095,0.021688205869567087,0.016415455314111024,0.016939522890552988,incident,parkland
8,0.10876114818255185,,,,0.04556314677517693,,,,,incident,parkland
16,0.01923743498983015,0.014331708610771508,0.01956423474202014,0.01104017846715134,0.016329680246944898,0.01017113227718587,0.011032993093436909,0.011337604723304204,0.015784896087503036,incident,chicago
17,0.010817748556708985,0.010249422738698602,,0.016714446105032726,0.012061810522801383,,0.018602208823035305,0.012688157250182344,0.011704848299067658,incident,vegas
19,0.014278245106719857,0.012236202104748474,,0.010645948116340032,0.013700668886636564,,0.015373624080276656,0.01721700449268174,0.010631676390932447,incident,sandyhook
