,atlantic,blaze,breitbart,fox,huffpo,inforwars,npr,nyt,wsj,global,specific
1,0.01853111056206828,0.018621057336420742,0.016017254969636113,0.03324643166729451,0.013091811469372123,0.025790185695824,0.020177513090771083,0.013536871883568644,0.011560705589625594,authority,police shooting
22,,0.01809791013883783,0.01198068480393704,0.01824270424409988,0.014375274439551276,0.020539440655843712,0.013878074826641041,0.018945185068131802,0.018731854142522198,authority,military
23,,0.013495401846512762,0.02192820501222935,0.04187779605251236,0.012800502172504759,0.023964128431060515,0.017753750980597876,0.01615750518715361,0.01209744918846018,authority,sherrif
