	ALABAMA	ALASKA	ARIZONA	ARKANSAS	CALIFORNIA	COLORADO	CONNECTICUT	DELAWARE	DISTRICT OF COLUMBIA	FLORIDA	GEORGIA	GUAM & NORTHERN MARIANA ISLANDS	HAWAII	IDAHO	ILLINOIS	INDIANA	IOWA	KANSAS	KENTUCKY	LOUISIANA	MAINE	MARYLAND	MASSACHUSETTS	MICHIGAN	MINNESOTA	MISSISSIPPI	MISSOURI	MONTANA	NEBRASKA	NEVADA	NEW HAMPSHIRE	NEW JERSEY	NEW MEXICO	NEW YORK	NORTH CAROLINA	NORTH DAKOTA	OHIO	OKLAHOMA	OREGON	PENNSYLVANIA	PUERTO RICO	RHODE ISLAND	SOUTH CAROLINA	SOUTH DAKOTA	TENNESSEE	TEXAS	US VIRGIN ISLANDS	UTAH	VERMONT	VIRGINIA	WASHINGTON	WEST VIRGINIA	WISCONSIN	WYOMING	TOTAL	
.30-30 cal	42	3	51	11	270	33	7	5	2	110	66	0	2	14	49	10	8	8	12	48	11	81	9	32	28	18	32	9	5	4	3	16	31	45	93	1	28	15	39	93	0	1	87	2	38	124	0	11	13	57	38	33	33	2	"1,783"	
.308 cal	15	5	43	2	421	47	13	5	1	77	22	0	1	13	39	14	6	15	5	35	5	52	4	25	17	16	19	9	9	5	10	10	11	35	61	7	36	11	32	53	0	1	43	2	28	104	0	18	1	41	35	11	8	2	"1,500"	
.270 cal	34	2	23	5	104	25	1	0	1	42	44	0	1	7	10	3	6	6	11	58	7	42	6	7	17	14	7	10	5	0	1	3	7	12	55	5	4	11	24	50	0	0	53	5	20	57	0	8	4	40	22	29	13	6	927	
.45/.410 bore	24	4	35	4	46	25	4	3	3	71	38	0	1	8	35	24	5	9	21	25	2	20	2	22	11	23	25	2	5	12	1	7	5	22	63	5	26	7	16	37	0	0	16	4	29	92	0	7	2	32	22	9	12	0	923	
16GA	24	0	10	4	67	10	5	1	3	41	18	0	1	1	31	11	4	8	11	14	2	37	2	28	6	11	11	2	8	2	0	8	6	33	46	1	27	4	6	28	0	1	131	1	28	36	0	5	1	17	2	9	8	0	771	
.30 cal	15	4	11	0	240	8	4	2	0	41	8	1	3	2	36	6	1	0	5	11	2	21	6	35	3	7	7	19	2	4	1	14	11	29	14	0	20	1	12	13	0	1	8	2	8	33	0	0	1	17	11	1	8	1	710	
.243 cal	24	6	8	2	73	17	0	1	0	32	19	0	3	2	10	5	6	6	6	29	1	43	1	7	7	8	12	4	7	2	0	2	8	13	36	11	5	13	13	47	0	0	40	6	9	60	0	8	1	32	13	27	8	1	694	
.50 cal	3	0	15	2	83	8	1	10	0	42	15	0	0	8	41	6	8	8	21	15	0	38	5	19	8	9	12	2	2	1	3	7	6	20	31	0	32	2	2	36	0	0	6	1	23	22	0	1	0	42	13	18	6	0	653	
.300 cal	10	10	13	3	157	14	1	0	0	19	8	0	0	12	8	5	0	5	3	18	1	26	3	5	6	4	8	4	2	2	1	2	12	9	19	1	5	8	32	36	0	0	42	0	9	27	0	6	1	20	23	20	8	3	631	
10mm	16	19	20	1	116	9	4	3	4	29	24	0	0	4	34	20	2	7	9	13	0	10	6	22	14	3	29	2	5	2	1	4	5	12	25	1	18	0	5	22	1	0	7	1	16	33	1	1	3	15	10	3	7	0	618	
7mm	15	4	14	2	139	13	1	0	4	18	19	0	2	9	11	2	2	3	2	23	0	37	2	7	5	11	8	3	5	2	0	4	6	9	22	2	2	5	18	35	0	1	45	1	10	35	0	5	1	8	18	18	4	1	613	
.17 cal	5	1	10	4	80	8	1	0	1	16	18	0	0	7	11	2	10	6	8	14	0	36	1	3	12	8	8	6	7	4	0	4	8	5	25	4	5	10	21	21	0	0	9	6	7	41	0	5	3	15	15	7	3	4	505	
5.7mm	10	1	16	3	47	2	1	0	0	41	28	0	0	2	12	17	9	2	6	11	0	13	0	21	1	2	15	0	1	3	0	0	4	10	12	0	13	2	9	11	4	1	3	1	13	68	1	4	1	13	6	0	5	0	445	
