topicID,topics
0,think know thing get make could way
1,officer police department incident san suspect chief
2,student school high march florida parkland stoneman
3,trump president donald white meeting house wednesday
4,breitbart hawkins awr awrhawkins news com amendment
5,nowhere 57 camp 700 deep fled wall
6,ar 15 semi 15s style automatic popular
7,bill republican house legislation senate democrat lawmaker
8,copied read joe 2018 morning feb discus
9,court supreme right ruling appeal case amendment
10,dick store sporting walmart retailer sell sale
11,jones alex crew infowars informed get breaking
12,ban assault magazine feinstein capacity 1994 bill
13,check background sale system purchase nics record
14,death violence research percent suicide health rate
15,nra national member association group organization amendment
16,la vega hotel room bay police mass
17,atf ammunition federal agent bureau tobacco enforcement
18,school teacher arming district classroom educator program
19,hook sandy elementary family lawsuit connecticut school
20,carry concealed permit open carrying right license
21,straight sent turn news get fox daily
22,military army war force target soldier defense
23,shot man police killed fired bullet 2017
24,npr may record know final right martin
25,comment please community hate topic speak rule
26,obama president barack clinton administration campaign election
27,company fund manager maker outdoor giant brand
28,automatic fire stock bump semi round trigger
29,chicago tribune homicide weekend city victim 2017
30,woman men female war violence male domestic
31,york apartment cruz city sgt police safe
32,facebook video com show cnn twitter http
33,attack terrorist vehicle london attacker deadly knife
34,kelly giffords mark purchase march store facebook
35,mr scott thursday federal meeting washington policy
36,orlando nightclub used mass semiautomatic type massacre
37,sheriff county deputy suspect home office son
38,article supported wsj automatically click currently medium
39,church texas told sutherland spring pennsylvania scared
