topicID,topics
0,firearm federal
1,officer police
2,ar 15
3,school student
4,nation action
5,trump president
6,say one
7,gun control
8,weapon assault
9,video street
10,com second
11,shot killed
12,company sale
13,background check
14,said told
15,get news
16,new york
17,state law
18,court federal
19,nra national
