topicID,topics
0,gun pro anti
1,wa explains eye
2,said nov 2016
3,rifle automatic making
4,firearm related anti
5,weapon concealed carry
6,ha president first
7,one third kind
8,people org 12
9,shooting practical target
10,law abiding enforcement
11,would nra field
12,state level based
13,year old 19
14,school high safety
15,police involved ap
16,say ex abc
17,ar 15 15s
18,also use first
19,time first part
20,right far carry
21,like twitter others
22,new brand member
23,control first advocacy
24,shot single long
25,assault style weapons
26,two way day
27,told president check
28,could old internet
29,used little often
30,officer involved com
31,ban non pro
32,trump anti pro
33,violence anti non
34,even non speech
35,american african made
36,many president check
37,news star express
38,second pro anti
39,make get believe
