topicID,topics
0,gun control free
1,said could home
2,wa like pistol
3,ha year officer
4,police would nra
5,rifle assault automatic
6,firearm home com
7,school would nra
8,state would nra
9,weapon assault year
10,shooting year would
11,law abiding father
12,one year old
13,people officer would
14,told year old
