0,shot man killed read year shooting police two old morning
1,officer police department incident county city say video call enforcement
2,ar 15 used semi store buy automatic rifle shooter ammunition
3,school student high shooting florida parkland medium dead left control
4,trump president white house read morning republican wednesday lawmaker support
5,nation action sign take support issue three policy program matter
6,say one like people think know would may could time
7,gun control violence shooting law owner show crime debate america
8,get news whether already sign read told life let say
9,ban assault weapon magazine bill ammunition high mass bullet style
10,video street 000 country want people show world earlier shooting
11,state law carry bill legislation republican would lawmaker measure enforcement
12,firearm ammunition federal gun act sale use owner report crime
13,com second amendment twitter news follow american armed bullet host
14,rifle automatic military round semi fire assault style magazine long
15,said told county home official authority two statement year member
16,new york city year morning old time law week first
17,background check sale system purchase gun record buy federal criminal
18,court federal case right law family arm amendment second state
19,nra national association member group republican right president political amendment
20,weapon used read military 2016 attack use system report official
21,company sale store year make group million end asked say
